Date,Product Name,Region,Salesperson,Units Sold,Revenue,Total Revenue ,Average Unit sold
1/31/2024,Product A,North,John,150,1500,15150,195
2/29/2024,Product B,South,Alice,200,2000,19200,215
3/31/2024,Product C,East,Michael,252,2600,27400,206.4166667
4/30/2024,Product A,West,Sara,100,1000,15300,195
5/31/2024,Product B,North,John,180,1800,15150,215
6/30/2024,Product C,South,Alice,210,2100,19200,206.4166667
7/31/2024,Product A,East,Michael,300,6000,27400,195
8/31/2024,Product B,West,Sara,220,2200,15300,215
9/30/2024,Product C,North,John,175,1750,15150,206.4166667
10/31/2024,Product A,South,Alice,230,2300,19200,195
11/30/2024,Product B,East,Michael,260,2600,27400,215
12/31/2024,Product C,West,Sara,190,1900,15300,206.4166667
1/31/2024,Product A,North,John,150,1500,15150,195
2/29/2024,Product B,South,Alice,200,2000,19200,215
3/31/2024,Product C,East,Michael,250,2500,27400,206.4166667
4/30/2024,Product A,West,Sara,100,1000,15300,195
5/31/2024,Product B,North,John,180,1800,15150,215
6/30/2024,Product C,South,Alice,210,2100,19200,206.4166667
7/31/2024,Product A,East,Michael,300,3000,27400,195
8/31/2024,Product B,West,Sara,220,2200,15300,215
9/30/2024,Product C,North,John,175,1750,15150,206.4166667
10/31/2024,Product A,South,Alice,230,2300,19200,195
11/30/2024,Product B,East,Michael,260,2600,27400,215
12/31/2024,Product C,West,Sara,190,1900,15300,206.4166667
1/31/2024,Product A,North,John,150,1500,15150,195
2/29/2024,Product B,South,Alice,200,2000,19200,215
3/31/2024,Product C,East,Michael,250,2500,27400,206.4166667
4/30/2024,Product A,West,Sara,100,1000,15300,195
5/31/2024,Product B,North,John,180,1800,15150,215
6/30/2024,Product C,South,Alice,210,2100,19200,206.4166667
7/31/2024,Product A,East,Michael,300,3000,27400,195
8/31/2024,Product B,West,Sara,220,2200,15300,215
9/30/2024,Product C,North,John,175,1750,15150,206.4166667
10/31/2024,Product A,South,Alice,230,2300,19200,195
11/30/2024,Product B,East,Michael,260,2600,27400,215
12/31/2024,Product C,West,Sara,190,1900,15300,206.4166667
,,,,,,,
